Elements, Bubble-sort, Count-sort, Insertion-sort, Merge-sort, Quick-sort, Selection-sort
100,99,3,34,29,9,24
200,401,7,136,63,22,93
300,878,11,279,103,35,207
400,1560,14,508,138,48,365
500,2435,18,786,173,61,571
600,3582,22,1202,227,77,820
700,4822,25,1580,262,90,1109
800,6275,29,2052,301,105,1451
900,7947,32,2580,346,116,1833
1000,9899,36,3266,383,135,2267
1100,11971,42,3908,460,149,2737
1200,14252,44,6111,492,162,3252
1300,16720,47,5580,537,178,3810
1400,19357,51,6560,585,202,5441
1500,22239,55,7319,617,211,5085
1600,25385,59,8455,688,234,5784
1700,28402,64,9414,707,248,6526
1800,32097,66,10530,747,258,7880
1900,35475,69,11761,788,276,8080
2000,39622,72,13042,826,289,8995
2100,43207,77,14322,943,308,9888
2200,47443,82,15720,1001,321,10835
2300,52084,83,17286,1030,336,11851
2400,56553,89,18632,1070,354,12887
2500,61966,92,20226,1130,369,14097
2600,67431,96,22035,1160,391,15105
2700,72000,98,23753,1210,405,16300
2800,77501,103,25519,1247,426,17538
2900,82912,105,27460,1288,438,18786
3000,88293,110,29332,1336,458,20097
3100,93972,115,30983,1394,474,21457
3200,100488,118,33152,1468,479,22858
3300,106927,122,35374,1477,505,24314
3400,113478,125,37815,1520,524,25801
3500,122579,131,40331,1592,546,27410
3600,129419,135,42573,1640,565,28953
3700,135324,136,44841,1661,574,30567
3800,141975,141,47377,1702,606,32282
3900,149789,143,49856,1754,595,33949
4000,157591,146,52738,1792,613,35739
