Elements, Bubble-sort, Count-sort, Insertion-sort, Merge-sort, Quick-sort, Selection-sort
50,19,1,6,12,4,6
60,33,2,11,15,5,9
70,44,2,15,20,6,12
80,60,2,21,23,7,16
90,78,3,28,25,8,20
100,97,3,35,28,9,24
110,115,3,39,31,11,30
120,135,4,47,34,12,35
130,160,4,54,41,13,41
140,181,4,61,44,14,47
150,200,5,66,47,15,54
160,242,5,74,50,16,61
170,260,6,82,53,18,68
180,298,6,92,56,19,76
190,336,6,103,59,20,85
200,375,9,119,63,22,94
210,480,11,192,88,32,154
220,660,12,220,93,25,115
230,533,8,168,73,26,124
240,559,8,185,76,27,136
250,611,9,203,80,29,147
260,656,9,220,92,29,159
270,698,9,233,95,31,171
280,761,10,241,98,32,184
290,831,10,265,102,34,197
300,878,11,282,115,41,211
