Elements, Bubble-sort, Count-sort, Insertion-sort, Merge-sort, Quick-sort, Selection-sort
50,24,1,9,13,4,6
60,40,2,14,15,5,9
70,48,2,20,20,6,12
80,65,3,24,23,7,16
90,78,3,29,26,8,20
100,98,3,35,30,9,24
110,118,4,41,31,11,29
120,142,4,51,33,12,34
130,170,4,60,41,13,40
140,193,5,70,44,14,47
150,224,5,79,47,16,54
160,251,5,86,50,16,61
170,289,6,97,53,18,68
180,323,6,113,56,19,76
190,358,6,125,59,20,85
200,397,7,138,63,21,93
210,441,7,153,65,23,104
220,482,8,168,68,24,113
230,531,7,184,72,25,123
240,566,8,193,75,26,134
250,646,9,218,78,28,145
260,671,9,231,91,29,157
270,722,10,247,94,31,169
280,775,10,265,96,31,182
290,820,10,278,101,35,195
300,882,11,298,105,35,208
