Elements, Bubble-sort, Count-sort, Insertion-sort, Merge-sort, Quick-sort, Selection-sort
50,0,2,0,12,2,6
60,1,3,1,14,2,8
70,2,3,1,19,3,11
80,3,3,2,21,4,15
90,4,4,2,24,6,19
100,4,4,3,26,7,23
110,5,5,3,29,8,28
120,7,5,4,32,20,34
130,8,5,4,40,10,40
140,9,6,5,42,11,46
150,10,6,6,57,12,53
160,11,7,6,48,14,60
170,12,7,7,60,15,68
180,13,7,8,54,16,75
190,14,7,8,56,17,84
200,15,8,9,60,18,94
210,16,8,10,62,19,103
220,17,8,10,65,20,113
230,17,9,11,67,21,124
240,350,9,15,71,21,133
250,350,10,15,73,22,145
260,368,10,15,86,23,186
270,467,14,26,118,26,241
280,641,15,30,123,20,252
290,653,17,30,127,21,194
300,526,12,22,99,16,206
