Elements, Bubble-sort, Count-sort, Insertion-sort, Merge-sort, Quick-sort, Selection-sort
100,135,16,78,25,6,23
200,540,20,317,55,13,99
300,1215,23,713,91,20,200
400,2161,27,1244,122,29,391
500,3379,31,1948,155,34,626
600,4738,34,2799,198,44,793
700,6756,38,3806,235,53,1079
800,8507,42,4979,268,63,1407
900,10873,45,6313,303,68,1782
1000,13428,49,7866,337,75,2199
1100,16007,52,9408,399,83,2652
1200,19514,56,11217,441,94,3490
1300,22692,60,13348,475,108,3970
1400,26588,64,15254,511,116,4760
1500,30504,67,17514,548,125,4974
1600,34382,72,19909,585,136,5746
1700,39039,75,22478,624,140,6742
1800,43853,80,25307,666,146,7151
1900,48571,82,28189,705,160,7905
2000,59220,112,31406,739,161,9696
2100,59745,91,34581,827,170,10127
2200,69696,96,44801,901,192,10672
2300,72404,98,44227,924,191,12825
2400,78210,102,44885,947,203,13953
2500,84641,104,48767,985,225,15110
2600,90957,109,52732,1024,224,16342
2700,98911,113,56917,1064,245,16156
2800,106602,119,61289,1110,253,17174
2900,114265,119,66017,1146,259,18750
3000,122233,123,70340,1190,267,21751
3100,130388,128,75101,1222,281,23226
3200,139343,130,80041,1275,291,24745
3300,148635,135,85128,1311,303,26319
3400,158413,137,90352,1348,295,25294
3500,166747,142,96087,1392,301,26871
3600,176087,146,101402,1431,308,31333
3700,187294,150,107003,1470,315,29915
3800,197414,155,113190,1529,327,34530
3900,208130,158,119198,1570,338,33279
4000,218763,160,125338,1596,341,35040
