Elements, Bubble-sort, Count-sort, Insertion-sort, Merge-sort, Quick-sort, Selection-sort
100,98,3,33,28,9,25
200,402,7,141,63,21,94
300,891,11,311,104,36,207
400,1582,14,548,138,48,367
500,2470,18,836,179,62,572
600,3518,22,1171,226,77,816
700,4729,25,1514,265,89,1111
800,6265,29,2025,304,105,1444
900,7992,32,2636,342,116,1827
1000,9856,36,3276,381,133,2252
1100,11811,40,3894,454,153,2721
1200,14077,43,4637,495,163,3237
1300,16604,47,5509,537,179,3806
1400,19265,51,6399,581,191,4401
1500,21951,55,7230,621,213,5043
1600,25128,58,8299,664,228,5739
1700,28239,62,9362,705,240,6477
1800,31623,65,10437,745,259,7256
1900,35027,69,11489,785,275,8083
2000,38970,74,12718,829,292,8967
2100,42824,78,13907,942,314,9867
2200,46883,82,15270,987,323,10831
2300,51352,86,16732,1031,340,11835
2400,56116,89,18426,1071,361,12926
2500,61800,92,20064,1122,374,14058
2600,66422,95,21472,1171,397,15140
2700,70787,99,23180,1214,413,16368
2800,76007,110,24703,1249,418,17535
2900,81811,107,26757,1302,440,18859
3000,87264,110,28444,1348,457,20150
3100,93307,113,30433,1396,468,21465
3200,99227,117,32294,1439,506,22920
3300,105400,122,34090,1478,499,24368
3400,112109,124,36112,1537,517,25834
3500,118423,128,38301,1571,535,27390
3600,125154,132,40628,1625,555,29009
3700,133215,135,48311,1865,647,33267
3800,143788,149,50619,1723,592,32541
3900,148537,144,50221,1773,603,34277
4000,156333,149,51165,1828,633,36095
