Elements, Bubble-sort, Count-sort, Insertion-sort, Merge-sort, Quick-sort, Selection-sort
100,1,3,1,25,4,23
200,2,8,3,57,10,90
300,3,12,5,93,16,204
400,10,18,7,124,25,361
500,14,22,11,155,33,565
600,18,26,14,209,45,813
700,22,29,17,242,56,1107
800,26,33,21,278,68,1447
900,30,38,24,314,77,1827
1000,34,41,27,346,85,2256
1100,38,44,30,418,98,2730
1200,42,48,34,455,107,3246
1300,8899,53,49,497,88,3807
1400,9908,56,51,529,97,4405
1500,10904,60,52,563,103,5056
1600,11937,66,55,603,114,5756
1700,12906,69,57,639,113,6494
1800,13913,73,58,676,118,7937
1900,15629,75,61,717,124,8120
2000,15984,80,63,751,130,8995
2100,16933,83,64,852,144,9910
2200,18016,88,66,896,151,10887
2300,19321,96,74,987,158,12321
2400,20370,103,69,1009,167,12972
2500,21837,104,72,1016,180,14047
2600,23226,107,76,1058,201,15155
2700,24160,111,80,1093,214,16331
2800,24451,115,83,1156,224,17609
2900,25701,119,87,1176,233,18865
3000,26905,123,89,1213,243,20207
3100,27881,126,92,1263,265,21593
3200,28540,129,96,1305,293,23128
3300,30040,137,100,1364,283,25124
3400,30265,138,103,1380,288,25910
3500,31122,139,107,1426,297,27555
3600,42152,148,127,1465,271,29130
3700,43867,149,129,1529,273,31103
3800,45200,152,131,1534,272,32403
3900,46300,158,135,1578,278,34827
4000,47699,163,138,1621,285,35887
